Date,Month,Year,units_consumed,Electricity_Bill
11,January,2019,108,700
8,February,2019,129,680
8,March,2019,189,940
8,April,2019,261,1510
8,May,2019,334,2160
8,June,2019,327,1781.25
8,July,2019,189,1510
8,August,2019,198.654545,1781.25
7,September,2019,198.654545,1510
8,October,2019,163,1781.25
7,November,2019,130,1781.25
7,December,2019,101,1781.25
8,January,2020,86,1781.25
8,February,2020,106,710
8,March,2020,98,1781.25
8,April,2020,98,1781.25
7,May,2020,98,1781.25
30,June,2020,917,1781.25
30,July,2020,197,1781.25
27,August,2020,152,1781.25
28,September,2020,186,1580
3,October,2020,200,1050
4,November,2020,134,1781.25
30,December,2020,96,1781.25
28,January,2021,111,1781.25
28,February,2021,109,1781.25
28,March,2021,147,1781.25
28,April,2021,237,1781.25
31,May,2021,279,2430
29,June,2021,268,2370
30,July,2021,228,1990
30,August,2021,195,1640
30,September,2021,188,1570
30,October,2021,207,1750
30,November,2021,158,1280
30,December,2021,99,680
30,January,2022,98,1781.25
1,February,2022,125,910
30,March,2022,186,1590
30,April,2022,314,2840
30,May,2022,395,4070
30,June,2022,383,3850
29,July,2022,199,1781.25
30,August,2022,198,1781.25
29,September,2022,216,1781.25
30,October,2022,181,1781.25
28,November,2022,139,1781.25
30,December,2022,141,1240
30,January,2023,124,1020
29,February,2023,141,1220
30,March,2023,147,1340
30,April,2023,219,2130
30,May,2023,259,2780
30,June,2023,303,3660
30,July,2023,213,1781.25
30,August,2023,199,2030
30,September,2023,221,2260
30,October,2023,198.654545,1781.25
29,November,2023,198.654545,1781.25
28,December,2023,198.654545,1781.25
